,이름,X,Y,대분류,탄소배출량
262,쏙닭쏙닭,129.0348531,35.1061934,커피,0.18
263,라임,129.035452,35.0997794,커피,0.18
264,일미옥,129.0335232,35.1077191,국/탕/찌개류,2.736
265,중앙대구탕,129.0341751,35.1020167,국/탕/찌개류,2.736
266,부산숯불갈비,129.0342466,35.1024668,돼지고기류,1.6
267,오단계국수쫄면김밥,129.0336005,35.1077635,밥류,0.414
268,티포유,129.0354667,35.1000677,커피,0.18
269,파라다이스,129.0346932,35.1013543,주류,0.32
270,하동집,129.0348148,35.1014254,밥류,0.414
271,덕인식당,129.0345158,35.1020679,밥류,0.414
272,레드카펫,129.0339563,35.1020637,면류,1.3
273,기린정숯불갈비,129.0337769,35.1078341,돼지고기류,1.6
274,계림,129.0338817,35.1022356,주류,0.32
275,즉석도넛호떡,129.0334593,35.1078729,패스트푸드류,2.6
276,상아,129.034739,35.0997674,주류,0.32
277,제우스,129.0345336,35.1008779,주류,0.32
278,서울식당,129.0342089,35.1029539,밥류,0.414
279,카스텐,129.0346037,35.1038159,커피,0.18
280,나홀로쌈밥,129.0336005,35.1077635,밥류,0.414
281,고미,129.0347208,35.1000651,밥류,0.414
282,브라운핸즈,129.0269974,35.1034118,커피,0.18
283,옥성반점,129.023726,35.1067025,면류,1.3
284,동화반점,129.0234622,35.1057763,면류,1.3
285,물꽁식당,129.0243893,35.1044795,생선류,5.933
286,대동냉면밀면,129.0216916,35.1036459,생선류,5.933
287,한우뭉치,129.0215693,35.1052785,소고기류,7.833
288,인앤빈,129.0264814,35.1033711,커피,0.18
289,용광횟집,129.0226181,35.1040618,생선류,5.933
290,보수동가,129.0266081,35.1038568,커피,0.18
291,새진주식당,129.0248864,35.1047637,소고기류,7.833
292,초록점빵,129.0235451,35.105388,커피,0.18
293,아테네학당,129.0268853,35.1032235,커피,0.18
294,준카츠,129.0255857,35.1036671,돼지고기류,1.6
295,미도리우동,129.0241049,35.1036706,면류,1.3
296,스시준,129.0228973,35.1070971,생선류,5.933
297,486갈비,129.0259833,35.1038891,돼지고기류,1.6
298,신 동방제면,129.025944,35.1033757,패스트푸드류,2.6
