업체명,경도,위도,숙박유형,숙박점수
더원호텔,129.1842866,35.31639229,호텔/리조트,28.03
호텔여기어때,129.1827183,35.31622426,호텔/리조트,28.03
낙원농원,129.1268525,35.33627132,캠핑/카라반/글램핑,7.98
영남장여관,129.0793084,35.11849224,펜션/민박/유스호스텔,8.51
리베모텔,129.092109,35.13574794,펜션/민박/유스호스텔,8.51
브이모텔,129.0862611,35.13528827,펜션/민박/유스호스텔,8.51
호텔스미스,129.0849343,35.13521422,호텔/리조트,28.03
보스코호텔,129.0873566,35.13535219,호텔/리조트,28.03
빈센트게스트하우스,129.0919259,35.12837791,펜션/민박/유스호스텔,8.51
풍조장여관,129.0839417,35.13487097,펜션/민박/유스호스텔,8.51
호텔브라운도트 대연점,129.0892951,35.13453381,호텔/리조트,28.03
호텔뮤리,129.0908831,35.13547057,호텔/리조트,28.03
낙원모텔,129.0907202,35.13553131,펜션/민박/유스호스텔,8.51
황금모텔,129.0904076,35.13461686,펜션/민박/유스호스텔,8.51
뮤트호텔,129.0907994,35.13464742,호텔/리조트,28.03
초이스게스트하우스,129.0999151,35.13374326,펜션/민박/유스호스텔,8.51
용궁모텔,129.0913517,35.12998202,펜션/민박/유스호스텔,8.51
코리아호텔,129.0923112,35.13275907,호텔/리조트,28.03
이데아호텔,129.0924305,35.13191378,호텔/리조트,28.03
호텔더그랑,129.0937138,35.13477312,호텔/리조트,28.03
꿈모텔,129.0938887,35.13476252,펜션/민박/유스호스텔,8.51
유니콘모텔,129.0916322,35.1346684,펜션/민박/유스호스텔,8.51
지앤지호텔,129.0900052,35.13460158,호텔/리조트,28.03
제트호텔,129.0909951,35.13463791,호텔/리조트,28.03
K모텔,129.0913184,35.13464223,펜션/민박/유스호스텔,8.51
루이모텔,129.0878116,35.13445751,펜션/민박/유스호스텔,8.51
웰킨호텔,129.0901742,35.1345972,호텔/리조트,28.03
호텔온나,129.0915211,35.13441344,호텔/리조트,28.03
T호텔,129.066685,35.13756926,호텔/리조트,28.03
부산국제금융연수원,129.0658659,35.14649532,캠핑/카라반/글램핑,7.98
낙원모텔,129.0702526,35.13760206,펜션/민박/유스호스텔,8.51
산해모텔,129.0697071,35.13744963,펜션/민박/유스호스텔,8.51
블루모텔,129.0694948,35.13772539,펜션/민박/유스호스텔,8.51
브이모텔,129.0671398,35.13773947,펜션/민박/유스호스텔,8.51
보브호텔,129.0669388,35.13756941,호텔/리조트,28.03
엔터모텔,129.0671589,35.13748767,펜션/민박/유스호스텔,8.51
대화장여관,129.0942048,35.11316092,펜션/민박/유스호스텔,8.51
오륙도여관,129.0949907,35.11429012,펜션/민박/유스호스텔,8.51
용당별장여관,129.0943135,35.11329644,펜션/민박/유스호스텔,8.51
용호서울모텔,129.1125603,35.12065547,펜션/민박/유스호스텔,8.51
부산해군회관,129.1162479,35.10486567,캠핑/카라반/글램핑,7.98
호텔시카고,129.1111579,35.11867923,호텔/리조트,28.03
성운장여관,129.1107893,35.11428231,펜션/민박/유스호스텔,8.51
노블레스모텔,129.1111214,35.11830681,펜션/민박/유스호스텔,8.51
베니스모텔,129.1114093,35.11871312,펜션/민박/유스호스텔,8.51
가든장모텔,129.1108046,35.11370616,펜션/민박/유스호스텔,8.51
넘버25호텔,129.1112952,35.11852927,호텔/리조트,28.03
서울모텔,129.112561,35.12060939,펜션/민박/유스호스텔,8.51
젠하우스,129.1113346,35.11515197,펜션/민박/유스호스텔,8.51
게스트하우스,129.1082483,35.12631011,펜션/민박/유스호스텔,8.51
우암여관,129.0708113,35.12582043,펜션/민박/유스호스텔,8.51
힐티장,129.0556499,35.14065981,펜션/민박/유스호스텔,8.51
